route_id,agency_id,route_short_name,route_name,route_desc,route_type,route_url,route_color,route_text_color,dummy,Frequency/Timings source,Frequency timings destination,Comments,route_long_name
15G ,BMTCB,,Kempegowda Bus Station -Kumaraswamy Layout 2nd Stage ,,3,,F53333,FFFFFF,1,,,,15G :Kempegowda Bus Station -Kumaraswamy Layout 2nd Stage 
15H ,BMTCB,,Kempegowda Bus Station -JHBCS Layout ,,3,,F53333,FFFFFF,1,,,,15H :Kempegowda Bus Station -JHBCS Layout 
15K ,BMTCB,,Shivajinagar -Ilyasnagar ,,3,,F53333,FFFFFF,1,,,,15K :Shivajinagar -Ilyasnagar 
15L ,BMTCB,,Kempegowda Bus Station -Minaznagar ,,3,,F53333,FFFFFF,1,,,,15L :Kempegowda Bus Station -Minaznagar 
16,BMTCB,,K R Market -J P Nagar 3rd Phase ,,3,,F53333,FFFFFF,1,,,,16:K R Market -J P Nagar 3rd Phase 
18,BMTCB,,Kempegowda Bus Station -Jayanagar 9th Block ,,3,,F53333,FFFFFF,1,,,,18:Kempegowda Bus Station -Jayanagar 9th Block 
18A,BMTCB,,Vidhana soudha-J.P.Nagar 3rd phase,,3,,F53333,FFFFFF,1,Morning 9AM from J.P.Nagar,Evening 5PM from vidhana soudha,,18A:Vidhana soudha-J.P.Nagar 3rd phase
20,BMTCB,,Shivajinagar -Jayanagar 9th Block ,,3,,F53333,FFFFFF,1,,,,20:Shivajinagar -Jayanagar 9th Block 
21,BMTCB,,K R Market -Byrasandra (Jayanagar) ,,3,,F53333,FFFFFF,1,,,,21:K R Market -Byrasandra (Jayanagar) 
22,BMTCB,,Kempegowda Bus Station -Jayanagar LIC Colony ,,3,,F53333,FFFFFF,1,,,,22:Kempegowda Bus Station -Jayanagar LIC Colony 
22A ,BMTCB,,Jayanagar LIC Colony -Shivajinagar ,,3,,F53333,FFFFFF,1,,,,22A :Jayanagar LIC Colony -Shivajinagar 
23,BMTCB,,J P Nagar 3rd Phase -Yeshwanthpur ,,3,,F53333,FFFFFF,1,,,,23:J P Nagar 3rd Phase -Yeshwanthpur 
24,BMTCB,,K R Market -Kuvempunagar (BTM Layout) ,,3,,F53333,FFFFFF,1,,,,24:K R Market -Kuvempunagar (BTM Layout) 
24A ,BMTCB,,K R Market -Kuvempunagar South (BTM 2nd stage Mahadeshwara nagar,,3,,F53333,FFFFFF,1,,,,24A :K R Market -Kuvempunagar South (BTM 2nd stage Mahadeshwara nagar
